source	type	name_source	name	description
Greek	Other deities			Aoide (Ἀοιδή), muse of song
Greek	Other deities			Arche (Αρχή), muse of origins
Greek	Other deities			Melete (Μελέτη), muse of meditation and practice
Greek	Other deities			Mneme (Μνήμη), muse of memory
Greek	Other deities			Thelxinoe (Θελξινόη), muse "charmer of minds"
Greek	Other deities			Olympian Muses, daughters of Zeus and Mnemosyne
Greek	Other deities			Calliope (Καλλιόπη), muse of epic poetry
Greek	Other deities			Clio (Κλειώ), muse of history
Greek	Other deities			Euterpe (Ευτέρπη), muse of musical poetry
Greek	Other deities			Erato (Ερατώ), muse of lyric poetry
Greek	Other deities			Melpomene (Μελπομένη), muse of tragedy
Greek	Other deities			Polyhymnia (Πολυμνία) or (Πολύμνια), muse of sacred poetry
Greek	Other deities			Terpsichore (Τερψιχόρη), muse of dance and choral poetry
Greek	Other deities			Thalia (Θάλεια), muse of comedy and bucolic poetry
Greek	Other deities			Urania (Ουρανία), muse of astronomy
Greek	Other deities			Muses worshiped at Delphi, daughters of Apollo
Greek	Other deities			Cephisso (Κεφισσώ)
Greek	Other deities			Apollonis (Απολλωνίς)
Greek	Other deities			Borysthenis (Βορυσθενίς)
Greek	Other deities			Hypate (Υπάτη) "the upper (chord of the lyre)"
Greek	Other deities			Mese (Μέση) "the middle (chord of the lyre)"
Greek	Other deities			Nete (Νήτη) "the lowest (chord of the lyre)"
Greek	Other deities			Muses worshiped at Sicyon
Greek	Other deities			Polymatheia (Πολυμάθεια), muse of knowledge
Greek	Other deities			Palaestra (Παλαίστρα), goddess of wrestling
Greek	Other deities			Rhapso (Ραψώ), minor goddess or nymph whose name apparently refers to sewing
Greek	Other deities			Taraxippus (Ταράξιππος), ghost that frightened horses
Greek	Deified mortals			[edit]
Greek	Deified mortals			Achilles (Ἀχιλλεύς), hero of the Trojan War
Greek	Deified mortals			Aiakos (Αἰακός), a king of Aegina, appointed as a Judge of the Dead in the Underworld after his death
Greek	Deified mortals			Aeolus (Αἴολος), a king of Thessaly, made the immortal king of the winds by Zeus
Greek	Deified mortals			Alabandus (Ἀλάβανδος), he was the founder of the town of Alabanda
Greek	Deified mortals			Amphiaraus (Ἀμφιάραος), a hero of the war of the Seven Against Thebes who became an oracular spirit of the Underworld after his death
Greek	Deified mortals			Ariadne (Αριάδνη), a Cretan princess who became the immortal wife of Dionysus
Greek	Deified mortals			Aristaeus (Ἀρισταῖος), a Thessalian hero, his inventions saw him immortalised as the god of bee-keeping, cheese-making, herding, olive-growing, and hunting
Greek	Deified mortals			Asclepius (Ἀσκληπιός), a Thessalian physician who was struck down by Zeus, to be later recovered by his father Apollo
Greek	Deified mortals			Attis (Ἄττις), a consort of Cybele, granted immortality as one of her attendants
Greek	Deified mortals			Bolina (Βολίνα), a mortal woman transformed into an immortal nymph by Apollo
Greek	Deified mortals			The Dioscuri (Διόσκουροι), divine twins
Greek	Deified mortals			Castor (Κάστωρ)
Greek	Deified mortals			Pollux (Πολυδεύκης)
Greek	Deified mortals			Endymion (Ἐνδυμίων), lover of Selene, granted eternal sleep so as never to age or die
Greek	Deified mortals			Ganymede (Γανυμήδης), a handsome Trojan prince, abducted by Zeus and made cup-bearer of the gods
Greek	Deified mortals			Glaucus (Γλαῦκος), the fisherman's sea god, made immortal after eating a magical herb
Greek	Deified mortals			Hemithea (Ἡμιθέα) and Parthenos (Παρθένος), princesses of the Island of Naxos who leapt into the sea to escape their father's wrath; Apollo transformed them into demi-goddesses
Greek	Deified mortals			Heracles (Ἡρακλῆς), ascended hero
Greek	Deified mortals
Greek	Deified mortals			Athena pouring a drink for Heracles, who wears the skin of the Nemean Lion
Greek	Deified mortals			Lampsace (Λαμψάκη), a semi-historical Bebrycian princess honored as goddess for her assistance to the Greeks
Greek	Deified mortals			Minos (Μίνως), a king of Crete, appointed as a Judge of the Dead in the Underworld after his death
Greek	Deified mortals			Ino (Ἰνώ), a Theban princess who became the sea goddess Leucothea
Greek	Deified mortals			Tenes (Τέννης), was a hero of the island of Tenedos
Greek	Deified mortals			The Leucippides (Λευκιππίδες), wives of the Dioscuri
Greek	Deified mortals			Phoebe (Φοίβη), wife of Pollux
Greek	Deified mortals			Hilaera (Ἱλάειρα), wife of Castor
Greek	Deified mortals			Orithyia (Ὠρείθυια), an Athenian princess abducted by Boreas and made the goddess of cold, gusty mountain winds
Greek	Deified mortals			Palaemon (Παλαίμων), a Theban prince, made into a sea god along with his mother, Ino
Greek	Deified mortals			Phylonoe (Φυλονόη), daughter of Tyndareus and Leda, made immortal by Artemis
Greek	Deified mortals			Psyche (Ψυχή), goddess of the soul
Greek	Deified mortals			Semele (Σεμελη), mortal mother of Dionysus, who later was made the goddess Thyone (Θυωνη)
Greek
Greek	Heroes			Abderus, aided Heracles during his eighth labour and was killed by the Mares of Diomedes
Greek	Heroes			Achilles (Αχιλλεύς or Αχιλλέας), hero of the Trojan War and a central character in Homer's Iliad
Greek	Heroes			Aeneas (Αινείας), a hero of the Trojan War and progenitor of the Roman people
Greek	Heroes			Ajax the Great (Αίας ο Μέγας), a hero of the Trojan War and king of Salamis
Greek	Heroes			Ajax the Lesser (Αίας ο Μικρός), a hero of the Trojan War and leader of the Locrian army
Greek	Heroes			Amphitryon (Αμφιτρύων), Theban general who rescued Thebes from the Teumessian fox; his wife was Alcmene, mother of Heracles
Greek	Heroes			Antilochus (Ἀντίλοχος), Son of Nestor sacrificed himself to save his father in the Trojan War along with other deeds of valor
Greek	Heroes			Bellerophon, hero who slew the Chimera
Greek	Heroes			Bouzyges
Greek	Heroes			Castor, the mortal Dioscuri twin; after Castor's death, his immortal brother Pollux shared his divinity with him in order that they might remain together
Greek	Heroes			Chrysippus, a divine hero of Elis
Greek	Heroes			Daedalus, creator of the labyrinth and great inventor, until King Minos trapped him in his own creation.
Greek	Heroes			Diomedes, a king of Argos and hero of the Trojan War
Greek	Heroes			Eleusis, eponymous hero of the town of Eleusis
Greek	Heroes			Eunostus, a Boeotian hero
Greek	Heroes			Ganymede, Trojan hero and lover of Zeus, who was given immortality and appointed cup-bearer to the gods
Greek	Heroes			Hector, hero of the Trojan War and champion of the Trojan people
Greek	Heroes			Icarus, the son of the master craftsman Daedalus
Greek	Heroes			Iolaus, nephew of Heracles who aided his uncle in one of his Labors
Greek	Heroes			Jason, leader of the Argonauts
Greek	Heroes			Meleager, a hero who sailed with the Argonauts and killed the Calydonian Boar
Greek	Heroes			Odysseus, a hero and king of Ithaca whose adventures are the subject of Homer's Odyssey; he also played a key role during the Trojan War
Greek	Heroes			Orpheus, a legendary musician and poet who attempted to retrieve his dead wife from the Underworld
Greek	Heroes			Pandion, the eponymous hero of the Attic tribe Pandionis, usually assumed to be one of the legendary Athenian kings Pandion I or Pandion II.
Greek	Heroes			Perseus (Περσεύς), son of Zeus and the founder-king of Mycenae and slayer of the Gorgon Medusa
Greek	Heroes			Theseus, son of Poseidon and a king of Athens and slayer of the Minotaur
Greek
Greek	Notable women			Alcestis (Άλκηστις), daughter of Pelias and wife of Admetus, who was known for her devotion to her husband
Greek	Notable women			Amymone, the one daughter of Danaus who refused to murder her husband, thus escaping her sisters' punishment
Greek	Notable women			Andromache (Ανδρομάχη), wife of Hector
Greek	Notable women			Andromeda (Ανδρομέδα), wife of Perseus, who was placed among the constellations after her death
Greek	Notable women			Antigone (Αντιγόνη), daughter of Oedipus and Jocasta
Greek	Notable women			Arachne (Αράχνη), a skilled weaver, transformed by Athena into a spider for her blasphemy
Greek	Notable women			Ariadne (Αριάδνη), daughter of Minos, king of Crete, who aided Theseus in overcoming the Minotaur and became the wife of Dionysus
Greek	Notable women			Atalanta (Αταλάντη), fleet-footed heroine who participated in the Calydonian Boar hunt
Greek	Notable women			Briseis, a princess of Lyrnessus, taken by Achilles as a war prize
Greek	Notable women			Caeneus, formerly Caenis, a woman who was transformed into a man and became a mighty warrior
Greek	Notable women			Cassandra, a princess of Troy cursed to see the future but never to be believed
Greek	Notable women			Cassiopeia (Κασσιόπεια), queen of Æthiopia and mother of Andromeda
Greek	Notable women			Clytemnestra, sister of Helen and unfaithful wife of Agamemnon
Greek	Notable women			Danaë, the mother of Perseus by Zeus
Greek	Notable women			Deianeira, the third wife and unwitting killer of Heracles
Greek	Notable women			Electra, daughter of Agamemnon and Clytemnestra, she aided her brother Orestes in plotting revenge against their mother for the murder of their father
Greek	Notable women			Europa, a Phoenician woman, abducted by Zeus
Greek	Notable women			Hecuba (Ἑκάβη), wife of Priam, king of Troy, and mother of nineteen of his children
Greek	Notable women			Helen, daughter of Zeus and Leda, whose abduction brought about the Trojan War
Greek	Notable women			Hermione (Ἑρμιόνη), daughter of Menelaus and Helen; wife of Neoptolemus, and later Orestes
Greek	Notable women			Iphigenia, daughter of Agamemnon and Clytemnestra; Agamemnon sacrificed her to Artemis in order to appease the goddess
Greek	Notable women			Ismene, sister of Antigone
Greek	Notable women			Jocasta, mother and wife of Oedipus
Greek	Notable women			Medea, a sorceress and wife of Jason, who killed her own children to punish Jason for his infidelity
Greek	Notable women			Medusa, a mortal woman transformed into a hideous gorgon by Athena
Greek	Notable women			Niobe, a daughter of Tantalus who declared herself to be superior to Leto, causing Artemis and Apollo to kill her fourteen children
Greek	Notable women			Pandora, the first woman
Greek	Notable women			Penelope, loyal wife of Odysseus
Greek	Notable women			Phaedra, daughter of Minos and wife of Theseus
Greek	Notable women			Polyxena, the youngest daughter of Priam, sacrificed to the ghost of Achilles
Greek	Notable women			Semele, mortal mother of Dionysus
Greek	Notable women			Thrace, the daughter of Oceanus and Parthenope, and sister of Europa
Greek	Kings			Abas, a king of Argos
Greek	Kings			Acastus, a king of Iolcus who sailed with the Argonauts and participated in the Calydonian Boar hunt
Greek	Kings			Acrisius, a king of Argos
Greek	Kings			Actaeus, first king of Attica
Greek	Kings			Admetus (Άδμητος), a king of Pherae who sailed with the Argonauts and participated in the Calydonian Boar hunt
Greek	Kings			Adrastus (Άδραστος), a king of Argos and one of the Seven Against Thebes
Greek	Kings			Aeacus (Αιακός), a king of the island of Aegina in the Saronic Gulf; after he died, he became one of the three judges of the dead in the Underworld
Greek	Kings			Aeëtes, a king of Colchis and father of Medea
Greek	Kings			Aegeus (Αιγεύς), a king of Athens and father of Theseus
Greek	Kings			Aegimius, a king of Thessaly and progenitor of the Dorians
Greek	Kings			Aegisthus (Αίγισθος), lover of Clytemnestra, with whom he plotted to murder Agamemnon and seized the kingship of Mycenae
Greek	Kings			Aegyptus (Αίγυπτος), a king of Egypt
Greek	Kings			Aeson, father of Jason and rightful king of Iolcus, whose throne was usurped by his half-brother Pelias
Greek	Kings			Aëthlius, first king of Elis
Greek	Kings			Aetolus (Αιτωλός), a king of Elis
Greek	Kings			Agamemnon (Ἀγαμέμνων), a king of Mycenae and commander of the Greek armies during the Trojan War
Greek	Kings			Agasthenes, a king of Elis
Greek	Kings			Agenor (Αγήνωρ), a king of Phoenicia
Greek	Kings			Alcinous (Αλκίνους or Ἀλκίνοος), a king of Phaeacia
Greek	Kings			Alcmaeon, a king of Argos and one of the Epigoni
Greek	Kings			Aleus, a king of Tegea
Greek	Kings			Amphiaraus (Ἀμφιάραος), a seer and king of Argos who participated in the Calydonian Boar hunt and the war of the Seven Against Thebes
Greek	Kings			Amphictyon (Ἀμφικτύων), a king of Athens
Greek	Kings			Amphion and Zethus, twin sons of Zeus and kings of Thebes, who constructed the city's walls
Greek	Kings			Amycus, son of Poseidon and king of the Bebryces
Greek	Kings			Anaxagoras (Ἀναξαγόρας), a king of Argos
Greek	Kings			Anchises (Αγχίσης), a king of Dardania and father of Aeneas
Greek	Kings			Arcesius, a king of Ithaca and father of Laertes
Greek	Kings			Argeus, a king of Argos
Greek	Kings			Argus, a son of Zeus and king of Argos after Phoroneus
Greek	Kings			Assaracus, a king of Dardania
Greek	Kings			Asterion, a king of Crete
Greek	Kings			Athamas (Ἀθάμας), a king of Orchomenus
Greek	Kings			Atreus (Ἀτρεύς), a king of Mycenae and father of Agamemnon and Menelaus
Greek	Kings			Augeas (Αυγείας), a king of Elis
Greek	Kings			Autesion, a king of Thebes
Greek	Kings			Bias, a king of Argos
Greek	Kings			Busiris, a king of Egypt
Greek	Kings			Cadmus, founder-king of Thebes
Greek	Kings			Car, a king of Megara
Greek	Kings			Catreus, a king of Crete, prophesied to die at the hands of his own son
Greek	Kings			Cecrops, an autochthonous king of Athens
Greek	Kings			Ceisus, a king of Argos
Greek	Kings			Celeus, a king of Eleusis
Greek	Kings			Cephalus, a king of Phocis who accidentally killed his own wife
Greek	Kings			Cepheus, a king of Ethiopia
Greek	Kings			Cepheus, a king of Tegea and an Argonaut
Greek	Kings			Charnabon, a king of the Getae
Greek	Kings			Cinyras, a king of Cyprus and father of Adonis
Greek	Kings			Codrus, a king of Athens
Greek	Kings			Corinthus, founder-king of Corinth
Greek	Kings			Cranaus, a king of Athens
Greek	Kings			Creon, a king of Thebes, brother of Jocasta and uncle of Oedipus
Greek	Kings			Creon, a king of Corinth who was hospitable towards Jason and Medea
Greek	Kings			Cres, an early Cretan king
Greek	Kings			Cresphontes, a king of Messene and descendent of Heracles
Greek	Kings			Cretheus, founder-king of Iolcus
Greek	Kings			Criasus, a king of Argos
Greek	Kings			Cylarabes, a king of Argos
Greek	Kings			Cynortas, a king of Sparta
Greek	Kings			Cyzicus, king of the Dolionians, mistakenly killed by the Argonauts
Greek	Kings			Danaus, a king of Egypt and father of the Danaides
Greek	Kings			Dardanus, founder-king of Dardania, and son of Zeus and Electra
Greek	Kings			Deiphontes, a king of Argos
Greek	Kings			Demophon of Athens, a king of Athens
Greek	Kings			Diomedes, a king of Argos and hero of the Trojan War
Greek	Kings			Echemus, a king of Arcadia
Greek	Kings			Echetus, a king of Epirus
Greek	Kings			Eetion, a king of Cilician Thebe and father of Andromache
Greek	Kings			Electryon, a king of Tiryns and Mycenae; son of Perseus and Andromeda
Greek	Kings			Elephenor, a king of the Abantes of Euboea
Greek	Kings			Eleusis, eponym and king of Eleusis, Attica
Greek	Kings			Epaphus, a king of Egypt and founder of Memphis, Egypt
Greek	Kings			Epopeus, a king of Sicyon
Greek	Kings			Erechtheus, a king of Athens
Greek	Kings			Erginus, a king of Minyean Orchomenus in Boeotia
Greek	Kings			Erichthonius, a king of Athens, born of Hephaestus' attempt to rape Athena
Greek	Kings			Eteocles, a king of Thebes and son of Oedipus; he and his brother Polynices killed each other
Greek	Kings			Eteocles, son of Andreus, a king of Orchomenus
Greek	Kings			Eurotas, a king of Sparta
Greek	Kings			Eurystheus, a king of Tiryns
Greek	Kings			Euxantius, a king of Ceos, son of Minos and Dexithea
Greek	Kings			Gelanor, a king of Argos
Greek	Kings			Haemus, a king of Thrace
Greek	Kings			Helenus, seer and twin brother of Cassandra, who later became king of Epirus
Greek	Kings			Hippothoön, a king of Eleusis
Greek	Kings			Hyrieus, a king of Boeotia
Greek	Kings			Ilus, founder-king of Troy
Greek	Kings			Ixion, a king of the Lapiths who attempted to rape Hera and was bound to a flaming wheel in Tartarus
Greek	Kings			Laërtes, father of Odysseus and king of the Cephallenians; he sailed with the Argonauts and participated in the Calydonian Boar hunt
Greek	Kings			Laomedon, a king of Troy and father of Priam
Greek	Kings			Lycaon of Arcadia, a deceitful Arcadian king who was transformed by Zeus into a wolf
Greek	Kings			Lycurgus of Arcadia, a king of Arcadia
Greek	Kings			Lycurgus of Nemea, a king of Nemea
Greek	Kings			Makedon, a king of Macedon
Greek	Kings			Megareus of Onchestus, a king of Onchestus in Boeotia
Greek	Kings			Megareus of Thebes, a king of Thebes
Greek	Kings			Melampus, a legendary soothsayer and healer, and king of Argos
Greek	Kings			Melanthus, a king of Messenia
Greek	Kings			Memnon, a king of Ethiopia who fought on the side of Troy during the Trojan War
Greek	Kings			Menelaus, a king of Sparta and the husband of Helen
Greek	Kings			Menestheus, a king of Athens who fought on the side of the Greeks during the Trojan War
Greek	Kings			Midas, a king of Phrygia granted the power to turn anything to gold with a touch
Greek	Kings			Minos, a king of Crete; after his death, became one of the judges of the dead in the Underworld
Greek	Kings			Myles, a king of Laconia
Greek	Kings			Nestor, a king of Pylos who sailed with the Argonauts, participated in the Calydonian Boar hunt and fought with the Greek armies in the Trojan War
Greek	Kings			Nycteus, a king of Thebes
Greek	Kings			Odysseus, a hero and king of Ithaca whose adventures are the subject of Homer's Odyssey; he also played a key role during the Trojan War
Greek	Kings			Oebalus, a king of Sparta
Greek	Kings			Oedipus, a king of Thebes fated to kill his father and marry his mother
Greek	Kings			Oeneus, a king of Calydon
Greek	Kings			Oenomaus, a king of Pisa
Greek	Kings			Oenopion, a king of Chios
Greek	Kings			Ogygus, a king of Thebes
Greek	Kings			Oicles, a king of Argos
Greek	Kings			Oileus, a king of Locris
Greek	Kings			Orestes, a king of Argos and a son of Clytemnestra and Agamemnon; he killed his mother in revenge for her murder of his father
Greek	Kings			Oxyntes, a king of Athens
Greek	Kings			Pandion I, a king of Athens
Greek	Kings			Pandion II, a king of Athens
Greek	Kings			Peleus, king of the Myrmidons and father of Achilles; he sailed with the Argonauts and participated in the Calydonian Boar hunt
Greek	Kings			Pelias, a king of Iolcus and usurper of Aeson's rightful throne
Greek	Kings			Pelops, a king of Pisa and founder of the House of Atreus
Greek	Kings			Pentheus, a king of Thebes who banned the worship of Dionysus and was torn apart by Maenads
Greek	Kings			Periphas, legendary king of Attica who Zeus turned into an eagle.
Greek	Kings			Perseus (Περσεύς), founder-king of Mycenae and slayer of the Gorgon Medusa
Greek	Kings			Phineus, a king of Thrace
Greek	Kings			Phlegyas, a king of the Lapiths
Greek	Kings			Phoenix, son of Agenor, founder-king of Phoenicia
Greek	Kings			Phoroneus, a king of Argos
Greek	Kings			Phyleus, a king of Elis
Greek	Kings			Pirithoös, king of the Lapiths and husband of Hippodamia, at whose wedding the Battle of Lapiths and Centaurs occurred
Greek	Kings			Pittheus, a king of Troezen and grandfather of Theseus
Greek	Kings			Polybus of Corinth, a king of Corinth
Greek	Kings			Polybus of Sicyon, a king of Sicyon and son of Hermes
Greek	Kings			Polybus of Thebes, a king of Thebes
Greek	Kings			Polynices, a king of Thebes and son of Oedipus; he and his brother Eteocles killed each other
Greek	Kings			Priam, king of Troy during the Trojan War
Greek	Kings			Proetus, a king of Argos and Tiryns
Greek	Kings			Pylades, a king of Phocis and friend of Orestes
Greek	Kings			Rhadamanthys, a king of Crete; after his death, he became a judge of the dead in the Underworld
Greek	Kings			Rhesus, a king of Thrace who sided with Troy in the Trojan War
Greek	Kings			Sarpedon, a king of Lycia and son of Zeus who fought on the side of the Greeks during the Trojan War
Greek	Kings			Sisyphus, a king of Thessaly who attempted to cheat death and was sentenced to an eternity of rolling a boulder up a hill, only to watch it roll back down
Greek	Kings			Sithon, a king of Thrace
Greek	Kings			Talaus, a king of Argos who sailed with the Argonauts
Greek	Kings			Tegyrios, a king of Thrace
Greek	Kings			Telamon, a king of Salamis and father of Ajax; he sailed with the Argonauts and participated in the Calydonian Boar hunt
Greek	Kings			Telephus, a king of Mysia and son of Heracles
Greek	Kings			Temenus, a king of Argos and descendent of Heracles
Greek	Kings			Teucer, founder-king of Salamis who fought alongside the Greeks in the Trojan War
Greek	Kings			Teutamides, a king of Larissa
Greek	Kings			Teuthras, a king of Mysia
Greek	Kings			Thersander, a king of Thebes and one of the Epigoni
Greek	Kings			Theseus, a king of Athens and slayer of the Minotaur
Greek	Kings			Thyestes, a king of Mycenae and brother of Atreus
Greek	Kings			Tisamenus, a king of Argos, Mycenae, and Sparta
Greek	Kings			Tyndareus, a king of Sparta
Greek
Greek	Seers/oracles			Amphilochus (Ἀμφίλοχος), a seer and brother of Alcmaeon who died in the war of the Seven Against Thebes
Greek	Seers/oracles			Anius, son of Apollo who prophesied that the Trojan War would be won in its tenth year
Greek	Seers/oracles			Asbolus, a seer Centaur
Greek	Seers/oracles			Bakis
Greek	Seers/oracles			Branchus, a seer and son of Apollo
Greek	Seers/oracles			Calchas, an Argive seer who aided the Greeks during the Trojan War
Greek	Seers/oracles			Carnus, an Acarnanian seer and lover of Apollo
Greek	Seers/oracles			Carya, a seer and lover of Dionysus
Greek	Seers/oracles			Cassandra, a princess of Troy cursed to see the future but never to be believed
Greek	Seers/oracles			Ennomus, a Mysian seer, killed by Achilles during the Trojan War
Greek	Seers/oracles			Halitherses, an Ithacan seer who warned Penelope's suitors of Odysseus' return
Greek	Seers/oracles			Helenus, seer and twin brother of Cassandra, who later became king of Epirus
Greek	Seers/oracles			Iamus, a son of Apollo possessing the gift of prophecy, he founded the Iamidai
Greek	Seers/oracles			Idmon, a seer who sailed with the Argonauts
Greek	Seers/oracles			Manto, seer and daughter of Tiresias
Greek	Seers/oracles			Melampus, a legendary soothsayer and healer, and king of Argos
Greek	Seers/oracles			Mopsus, the name of two legendary seers
Greek	Seers/oracles			Polyeidos, a Corinthian seer who saved the life of Glaucus
Greek	Seers/oracles			Pythia, the oracle of Delphi
Greek	Seers/oracles			Telemus, a seer who foresaw that the Cyclops Polyphemus would be blinded by Odysseus
Greek	Seers/oracles			Theoclymenus, an Argive seer
Greek	Seers/oracles			Tiresias, blind prophet of Thebes
Greek
Greek
Greek	Amazons			Achilles and Penthesileia (Lucanian red-figure bell-krater, late 5th century BC)
Greek	Amazons			Aegea, a queen of the Amazons
Greek	Amazons			Aella (Ἄελλα), an Amazon who was killed by Heracles
Greek	Amazons			Alcibie (Ἀλκιβίη), an Amazonian warrior, killed by Diomedes at Troy
Greek	Amazons			Antandre (Ἀντάνδρη), an Amazonian warrior, killed by Achilles at Troy
Greek	Amazons			Antiope (Ἀντιόπη), a daughter of Ares and sister of Hippolyta
Greek	Amazons			Areto (Ἀρετώ), an Amazon
Greek	Amazons			Asteria (Ἀστερία), an Amazon who was killed by Heracles
Greek	Amazons			Bremusa (Βρέμουσα), an Amazonian warrior, killed by Idomeneus at Troy
Greek	Amazons			Celaeno (Κελαινώ), an Amazonian warrior, killed by Heracles
Greek	Amazons			Eurypyle (Εὐρυπύλη), an Amazon leader who invaded Ninus and Babylonia
Greek	Amazons			Hippolyta (Ἱππολύτη), a queen of Amazons and daughter of Ares
Greek	Amazons			Hippothoe (Ἱπποθόη), an Amazonian warrior, killed by Achilles at Troy
Greek	Amazons			Iphito (Ἰφιτώ), an Amazon who served under Hippolyta
Greek	Amazons			Lampedo (Λαμπεδώ), an Amazon queen who ruled with her sister Marpesia
Greek	Amazons			Marpesia (Μαρπεσία), an Amazon queen who ruled with her sister Lampedo
Greek	Amazons			Melanippe (Μελανίππη), a daughter of Ares and sister of Hippolyta and Antiope
Greek	Amazons			Molpadia (Μολπαδία), an Amazon who killed Antiope
Greek	Amazons			Myrina (Μύρινα), a queen of the Amazons
Greek	Amazons			Orithyia (Ὠρείθυια), an Amazon queen
Greek	Amazons			Otrera (Ὀτρήρα), an Amazon queen, consort of Ares and mother of Hippolyta
Greek	Amazons			Pantariste (Πανταρίστη), an Amazon who fought with Hippolyta against Heracles
Greek	Amazons			Penthesilea (Πενθεσίλεια), an Amazon queen who fought in the Trojan War on the side of Troy
Greek	Amazons			Thalestris (Θάληστρις), a queen of the Amazons
Greek	Amazons
Greek	Inmates of Tartarus			The Danaides, forty-nine daughters of Danaus who murdered their husbands and were condemned to an eternity of carrying water in leaky jugs
Greek	Inmates of Tartarus			Ixion, a king of the Lapiths who attempted to rape Hera and was bound to a flaming wheel in Tartarus
Greek	Inmates of Tartarus			Sisyphus, a king of Thessaly who attempted to cheat death and was sentenced to an eternity of rolling a boulder up a hill, only to watch it roll back down
Greek	Inmates of Tartarus			Tantalus, a king of Anatolia who butchered his son Pelops and served him as a meal to the gods; he was punished with the torment of starvation, food and drink eternally dangling just out of reach
Greek
Greek	mythological figures			Abas (Ἄβαντος) — the name of several mythological figures.
Greek	mythological figures			Abderus, aided Heracles during his eighth labour and was killed by the Mares of Diomedes
Greek	mythological figures			Abia (Ἀβία) — nursemaid of Glenus, a son of Heracles.
Greek	mythological figures			Acallaris — daughter of Eumedes.
Greek	mythological figures			Abrota (Αβρώτη) — wife of Nisos, king of Megara.
Greek	mythological figures			Acamas, son of Antenor (Ἀκάμας) — son of Antenor who fought in the Trojan war on the side of Troy.
Greek	mythological figures			Acamas, son of Theseus (Ἀκάμας) — son of Theseus who fought with the Greeks during the Trojan War.
Greek	mythological figures			Acarnan (Ἀκαρνάν) — son of Alcmaeon and Callirrhoe.
Greek	mythological figures			Achaeus (Ἀχαιός) — progenitor of the Achaeans.
Greek	mythological figures			Acoetes (Ἀκοίτης) — priest of Dionysus.
Greek	mythological figures			Acraepheus (Ἀκραιφεύς) — son of Apollo.
Greek	mythological figures			Actaeon (Ἀκταίων) — a hunter transformed into a stag by Artemis and devoured by his own hounds.
Greek	mythological figures			Actaeus, first king of Attica
Greek	mythological figures			Actor (Άκτωρ) — the name of several mythological figures.
Greek	mythological figures			Adrastus — the name of several mythological figures.
Greek	mythological figures			Aegiale (Αἰγιαλεία) — unfaithful wife of Diomedes.
Greek	mythological figures			Aegialeus (Αἰγιαλεύς) — the name of several mythological figures.
Greek	mythological figures			Aegimius, a king of Thessaly and progenitor of the Dorians
Greek	mythological figures			Aegyptus (Αίγυπτος), a king of Egypt
Greek	mythological figures			Aepytus (Αἵπυτος) — the name of several mythological figures.
Greek	mythological figures			Aëdon (Ἀηδών) — daughter of Pandareus, changed into a nightingale.
Greek	mythological figures			Aërope (Ἀερόπη)— the name of several mythological figures.
Greek	mythological figures			Aesacus (Αἴσακος) — son of Priam who was transformed into a bird.
Greek	mythological figures			Aethalides (Αἰθαλίδης) — herald of the Argonauts.
Greek	mythological figures			Aethilla (Αἴθιλλα or Αἴθυλλα) — sister of Priam, king of Troy.
Greek	mythological figures			Aëthlius, first king of Elis
Greek	mythological figures			Aethra (Αἴθρα) — mother of Theseus.
Greek	mythological figures			Aetolus (Αἰτωλός) — son of Endymion, eponym of Aetolia.
Greek	mythological figures			Agamede (Ἀγαμήδη) — the name of several mythological figures.
Greek	mythological figures			Agamedes (Ἀγαμήδης) — a famed architect.
Greek	mythological figures			Agapenor (Ἀγαπήνωρ) — leader of the Arcadians during the Trojan War.
Greek	mythological figures			Agasthenes, a king of Elis
Greek	mythological figures			Agastrophus (Ἀγάστροφος) — a Paeonian ally of the Trojans.
Greek	mythological figures			Agave (Ἀγαύη) — mother of Cadmus and worshiper of Dionysus.
Greek	mythological figures			Agelaus (Ageláos) — the name of several mythological figures.
Greek	mythological figures			Aglaea (Αγλαΐα) — the name of several mythological figures.
Greek	mythological figures			Aglaulus (Ἄγλαυρος) — the name of several mythological figures.
Greek	mythological figures			Agrius (Ἄγριος) — the name of several mythological figures.
Greek	mythological figures			Agron (Ἄγρων) — son of Eumelus who was transformed into a plover for disrespecting Hermes, Athena and Artemis.
Greek	mythological figures			Alabandus (Ἀλάβανδος) — he was the founder of the town of Alabanda
Greek	mythological figures			Alcaeus (Ἀλκαίος) — the name of several mythological figures.
Greek	mythological figures			Alcathous (Ἀλκάθοος)— the name of several mythological figures.
Greek	mythological figures			Alcidice (Ἀλκιδίκη) — wife of Salmoneus, king of Elis.
Greek	mythological figures			Alcimache (Ἁλκιμάχη) — the name of several mythological figures.
Greek	mythological figures			Alcimede (Ἀλκιμέδη) — wife of Aeson and mother of Jason.
Greek	mythological figures			Alcimedon (Ἀλκιμέδων) — the name of several mythological figures.
Greek	mythological figures			Alcimus (Ἄλκιμος) — the name of several mythological figures.
Greek	mythological figures			Alcinoe (Ἀλκινόη) — the name of several mythological figures.
Greek	mythological figures			Alcmene (Ἀλκμήνη) — mother of Heracles.
Greek	mythological figures			Alcyone (Ἀλκυών or Ἀλκυόνη) — daughter of Aeolus and wife of Ceyx.
Greek	mythological figures			Almus (Ἄλμος) — one of the sons of Sisyphus.
Greek	mythological figures			Aloeus (Ἀλωεύς) — the name of several mythological figures.
